seqname	V	D	J	vlen	vdilen	dlen	djilen	jlen
S1	IGHV3-30-3*01	IGHD5-12*01	IGHJ1*01	293	8	23	2	47
S2	IGHV1/OR21-1*01	IGHD5-18*01	IGHJ1*01	293	6	7	4	51
S3	IGHV3-30-3*01	IGHD4/OR15-4a*01	IGHJ2*01	294	19	9	4	44
S4	IGHV4-4*07	IGHD4-11*01	IGHJ3*01	291	7	16	3	41
S5	IGHV3-43*02	IGHD3-9*01	IGHJ2*01	288	3	14	6	53
S6	IGHV3-38*03	IGHD3-22*01	IGHJ1*01	288	4	21	0	45
S7	IGHV2-5*08	IGHD3-16*02	IGHJ5*02	300	2	33	0	44
S8	IGHV4-38-2*02	IGHD5-12*01	IGHJ2*01	293	1	14	0	47
S9	IGHV4-38-2*02	IGHD3-16*02	IGHJ5*01	290	18	31	4	51
S10	IGHV7-4-1*04	IGHD6-6*01	IGHJ3*01	294	3	4	16	50
S11	IGHV1-58*01	IGHD2-15*01	IGHJ3*01	292	12	31	7	49
S12	IGHV3/OR16-8*01	IGHD1-20*01	IGHJ3*02	293	3	0	0	50
S13	IGHV3/OR16-13*01	IGHD3/OR15-3a*01	IGHJ4*03	294	10	24	3	36
S14	IGHV3-53*02	IGHD1/OR15-1a*01	IGHJ5*01	288	0	15	0	46
S15	IGHV1/OR15-5*02	IGHD6-13*01	IGHJ5*01	294	4	0	0	51
S16	IGHV3-30-3*03	IGHD2/OR15-2a*01	IGHJ6*04	291	5	15	5	60
S17	IGHV3-21*03	IGHD4/OR15-4a*01	IGHJ2*01	294	3	2	4	49
S18	IGHV3/OR16-13*01	IGHD3-16*01	IGHJ2*01	289	10	35	0	42
S19	IGHV3-49*05	IGHD4-11*01	IGHJ2*01	300	7	10	3	50
S20	IGHV2/OR16-5*01	IGHD5-18*01	IGHJ6*04	298	4	13	1	63
S21	IGHV3-11*03	IGHD1-14*01	IGHJ6*04	293	7	11	1	55
S22	IGHV6-1*01	IGHD1-1*01	IGHJ5*01	300	7	7	1	49
S23	IGHV3-15*07	IGHD2-8*02	IGHJ4*03	299	0	30	6	44
S24	IGHV3/OR16-10*01	IGHD1/OR15-1a*01	IGHJ1*01	291	12	0	7	51
S25	IGHV3-64D*06	IGHD3-10*01	IGHJ4*01	292	14	26	0	44
S26	IGHV3-13*02	IGHD2-21*01	IGHJ5*01	291	6	17	0	44
S27	IGHV3-49*05	IGHD3/OR15-3a*01	IGHJ5*02	298	7	25	13	48
S28	IGHV4-61*02	IGHD2-8*02	IGHJ5*02	297	3	26	1	49
S29	IGHV3/OR16-6*02	IGHD4-17*01	IGHJ6*02	296	8	16	6	46
S30	IGHV2-26*01	IGHD3-22*01	IGHJ5*01	300	0	30	12	46
S31	IGHV4-30-2*04	IGHD3-10*01	IGHJ5*01	225	2	19	1	45
S32	IGHV7-81*01	IGHD4-11*01	IGHJ4*02	293	5	6	5	46
S33	IGHV3-13*04	IGHD6-25*01	IGHJ3*01	290	0	2	1	50
S34	IGHV3-16*01	IGHD7-27*01	IGHJ4*01	294	5	6	2	48
S35	IGHV3-38*03	IGHD3-16*02	IGHJ3*01	287	9	33	13	46
S36	IGHV3-16*02	IGHD4-23*01	IGHJ4*03	293	2	11	7	48
S37	IGHV1-46*02	IGHD1-7*01	IGHJ3*01	293	5	17	8	44
S38	IGHV3-64*03	IGHD3/OR15-3a*01	IGHJ1*01	293	7	10	7	44
S39	IGHV4/OR15-8*02	IGHD5/OR15-5a*01	IGHJ3*02	293	2	17	3	34
S40	IGHV1-46*03	IGHD2-15*01	IGHJ1*01	291	0	27	1	51
S41	IGHV3-73*01	IGHD3-3*01	IGHJ1*01	300	4	11	0	52
S42	IGHV1-3*01	IGHD2-21*01	IGHJ4*01	293	3	18	5	48
S43	IGHV3-64D*06	IGHD3-16*02	IGHJ4*03	294	7	31	3	47
S44	IGHV1-8*02	IGHD5-18*01	IGHJ6*04	293	4	3	0	58
S45	IGHV1-46*01	IGHD4-11*01	IGHJ4*01	294	8	16	16	45
S46	IGHV3-7*02	IGHD1-14*01	IGHJ6*02	294	5	0	5	56
